,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,IOBT,"IO Biotech, Inc.",io-biotech,stock,['common'],142302767.62500003,USD,2.16,100,1,false,0,USD,68.75000000000001,37540433,,-1.5784,-9.694905830843002,0.0,3.3921040355163115,1.333333,Health technology,Health Technology,america
1,NASDAQ,PGEN,"Precigen, Inc.",precigen,stock,['common'],876040338.7135135,USD,2.94,100,1,false,0,USD,58.918918918918905,173117875,,-0.4284,20.769373034954683,0.0,59.45544266102639,1.25,Health technology,Health Technology,america
2,AMEX,MTNB,"Matinas Biopharma Holdings, Inc.",matinas-biopharma,stock,['common'],12005284.242424242,USD,2.36,100,1,false,0,USD,43.03030303030303,22525411,,-3.9789,25.634987384356606,0.0,104.9967324587572,,Health technology,Health Technology,america
3,NASDAQ,PPSI,"Pioneer Power Solutions, Inc.",pioneer-power-solutions,stock,['common'],48373155.33762058,USD,4.35,100,1,false,0,USD,39.871382636655945,97006317,,,,0.0,640.5505272311992,1.0,Producer manufacturing,Producer Manufacturing,america
4,NASDAQ,ATLN,Atlantic International Corp.,atlantic-international,stock,['common'],311335265.9299192,USD,5.05,100,1,false,0,USD,36.118598382749326,652000,,-1.8489,83.80147187664272,0.0,16.14268949091108,,Health technology,Health Technology,america
5,NASDAQ,RUN,Sunrun Inc.,sunrun,stock,['common'],3211797296.564885,USD,13.92,100,1,false,0,USD,32.82442748091602,76327326,,-11.6154,-82.13092904743236,0.0,4.8570963308006565,1.596154,Electronic technology,Electronic Technology,america
6,NASDAQ,FOSL,"Fossil Group, Inc.",fossil-group,stock,['common'],166266465.8723404,USD,3.1,100,1,false,0,USD,31.914893617021274,6543881,,-1.1181,61.3995719118967,0.0,9.823200196827846,1.0,Consumer durables,Consumer Durables,america
7,AMEX,FLYX,"flyExclusive, Inc.",flyexclusive,stock,['common'],279652261.65808827,USD,3.49,100,1,false,0,USD,28.308823529411764,92237,,-1.1771,-2716.0287081339716,0.0,6.3709705270864845,,Transportation,Transportation,america
8,NASDAQ,KPTI,Karyopharm Therapeutics Inc.,karyopharm-therapeutics,stock,['common'],51333967.41505376,USD,5.92,100,1,false,0,USD,27.311827956989237,1621932,,-14.6078,18.017532635170788,0.0,11.649584203018678,1.5,Health technology,Health Technology,america
9,NASDAQ,GSUN,Golden Sun Health Technology Group Limited,golden-sun-health-technology-limited,stock,['common'],5784356.379310345,USD,2.92,100,1,false,0,USD,25.86206896551725,32001,,-3.936,,0.0,3.1449996068873336,,Commercial services,Commercial Services,america
10,NASDAQ,NERV,"Minerva Neurosciences, Inc",minerva-neurosciences,stock,['common'],15735162.534818942,USD,2.25,100,1,false,0,USD,25.348189415041787,419980,2.722652468538238,0.8264,,0.0,35.71379978910847,,Health technology,Health Technology,america
11,NASDAQ,ARRY,"Array Technologies, Inc.",array-technologies,stock,['common'],1163762788.006579,USD,7.62,100,1,false,0,USD,25.32894736842105,23872376,,-1.7516,-1698.1751824817518,0.0,2.8751810027527207,1.590909,Electronic technology,Electronic Technology,america
12,NASDAQ,VERB,"Verb Technology Company, Inc.",verb-technology-company,stock,['common'],1359098756.4738295,USD,22.45,100,1,false,0,USD,23.691460055096424,611717,,-11.5881,93.90920654276343,0.0,0.15755058683322704,1.0,Technology services,Technology Services,america
13,NASDAQ,IMRX,Immuneering Corporation,immuneering,stock,['common'],135306239.4210526,USD,3.76,100,1,false,0,USD,23.68421052631578,837721,,-1.8951,0.6604812077370628,0.0,2.793497453169158,1.166667,Health technology,Health Technology,america
14,NASDAQ,CASI,"CASI Pharmaceuticals, Inc.",casi-pharmaceuticals,stock,['common'],36872580.60824742,USD,2.38,100,1,false,0,USD,22.680412371134018,6047183,,-2.6855,-18.179017778560112,0.0,0.8974478880085417,1.0,Health technology,Health Technology,america
15,NASDAQ,COEP,"Coeptis Therapeutics Holdings, Inc.",coeptis-therapeutics,stock,['common'],49088312.917247385,USD,13.97,100,1,false,0,USD,21.689895470383277,133586,,-4.953,56.9962492185872,0.0,3.169262523576205,,Health technology,Health Technology,america
16,NASDAQ,HCTI,"Healthcare Triangle, Inc.",,stock,['common'],23268944.872727275,USD,3.99,100,1,false,0,USD,20.90909090909092,4596183,,-227.845,45.83958800576678,0.0,2.833632622320849,,Technology services,Technology Services,america
17,NASDAQ,BNRG,Brenmiller Energy Ltd,brenmiller-energy-ltd,stock,['common'],6487528.436548223,USD,2.38,100,1,false,0,USD,20.812182741116747,341750,,-6.4674,80.6196997392946,0.0,8.910738776510561,,Industrial services,Industrial Services,america
18,AMEX,SIF,"SIFCO Industries, Inc.",sifco-industries-inc,stock,['common'],41475601.456483126,USD,6.7,100,1,false,0,USD,19.005328596802848,205820,,-0.663,54.40165061898211,0.0,6.660992320214374,,Electronic technology,Electronic Technology,america
19,NASDAQ,FTCI,"FTC Solar, Inc.",ftc-solar,stock,['common'],83893853.16075157,USD,5.64,100,1,false,0,USD,17.745302713987464,208259,,-3.6369,8.526371387610363,0.0,1.67000787455876,1.5,Technology services,Technology Services,america
