,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
0,NASDAQ,ZYBT,Zhengye Biotechnology Holding Limited,zhengye-biotechnology-limited,stock,['common'],317522219.2,USD,6.7,100,1,false,0,USD,-29.39936775553214,566766,201.2012012012012,0.0333,-64.87341772151898,0.0,2.727730818228765,Health technology,Health Technology,america,
1,NASDAQ,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],65754146.710963465,USD,2.2,100,1,false,0,USD,-26.910299003322248,923259,6.975269499048827,0.3154,,0.0,1.9973580829529936,Commercial services,Commercial Services,america,
2,NYSE,COTY,Coty Inc.,coty,stock,['common'],3323424675.0061727,USD,3.81,100,1,false,0,USD,-21.604938271604944,44709680,,-0.4374,-678.5714285714286,0.0,6.018581463368721,Consumer non-durables,Consumer Non-Durables,america,1.733333
3,NASDAQ,DBGI,"Digital Brands Group, Inc.",digital-brands,stock,['common'],39452658.42536537,USD,8.7842,100,1,false,0,USD,-20.604850007682643,207789,,-89.6589,93.06617223418777,0.0,0.566424253147669,Consumer non-durables,Consumer Non-Durables,america,
4,NASDAQ,RMSG,Real Messenger Corporation,real-messenger,stock,['common'],21045816.14203455,USD,4.15,100,1,false,0,USD,-20.345489443378113,1309170,,,,0.0,3.1317923439175286,Technology services,Technology Services,america,
5,NASDAQ,CSIQ,Canadian Solar Inc.,canadian-solar,stock,['common'],695506756.3835293,USD,10.385,100,1,false,0,USD,-18.54901960784314,6229295,,-0.1977,-106.97256119066094,0.0,7.748232071260955,Electronic technology,Electronic Technology,america,1.8
6,NASDAQ,LIMN,"Liminatus Pharma, Inc.",liminatus-pharma,stock,['common'],75239676.2275449,USD,2.78,100,1,false,0,USD,-16.766467065868266,1286208,,-0.2868,-46.02851323828921,0.0,3.2329163227326245,Health technology,Health Technology,america,
7,NASDAQ,ATGL,Alpha Technology Group Limited,alpha-technology-limited,stock,['common'],427197347.6593406,USD,27.99,100,1,false,0,USD,-14.560439560439558,18407,,,,0.0,1.0831788625062524,Technology services,Technology Services,america,
8,NASDAQ,BAFN,BayFirst Financial Corp.,bayfirst-financial,stock,['common'],27406015.874514874,USD,6.63,100,1,false,0,USD,-14.230271668822775,46463,3.8430326918618127,1.7252,81.50447133087849,4.13971539456662,2.779353001698849,Finance,Finance,america,
9,AMEX,PAPL,Pineapple Financial Inc.,,stock,['common'],,USD,4.42,100,1,false,0,USD,-13.502935420743647,123291,,-8.126,4.264844486333649,0.0,0.015634051776582093,Finance,Finance,america,
10,NASDAQ,CNSP,"CNS Pharmaceuticals, Inc.",cns-pharmaceuticals,stock,['common'],3487700.9483500724,USD,6.07,100,1,false,0,USD,-12.912482065997125,844821,,-203.9549,99.73629866955461,0.0,16.131157870617887,Health technology,Health Technology,america,1.0
11,NASDAQ,NVAX,"Novavax, Inc.",novavax,stock,['common'],1239277127.5171623,USD,7.63,100,1,false,0,USD,-12.700228832951948,20993172,3.3801444203251676,2.2573,,0.0,2.4899975696835996,Health technology,Health Technology,america,1.928571
12,NASDAQ,SISI,"Shineco, Inc.",,stock,['common'],268383166.27138638,USD,5.96,100,1,false,0,USD,-12.094395280235993,448411,,-64.8322,75.29162741206206,0.0,0.14486021662175522,Process industries,Process Industries,america,
13,NASDAQ,CISS,C3is Inc.,c3is,stock,['common'],2389150.115273775,USD,3.06,100,1,false,0,USD,-11.815561959654183,163340,,-37.5449,-101.53784304087819,0.0,0.34280758869469513,Transportation,Transportation,america,
14,NYSE,HOV,"Hovnanian Enterprises, Inc.",hovnanian-enterprises,stock,['common'],723577196.9761666,USD,131.8,100,1,false,0,USD,-11.513930849278267,274764,4.662449944107202,28.2684,-4.894813160046155,0.0,2.3346537581124553,Consumer durables,Consumer Durables,america,2.0
15,NASDAQ,OCG,Oriental Culture Holding LTD,oriental-culture-ltd,stock,['common'],57018302.42718446,USD,2.75,100,1,false,0,USD,-11.003236245954689,18447,,-0.3056,63.86425446375784,0.0,1.6159041337082491,Retail trade,Retail Trade,america,
16,NASDAQ,SMX,SMX (Security Matters) Public Limited Company,smx-security-matters-public-limited-company,stock,['common'],5157618.12638581,USD,4.03,100,1,false,0,USD,-10.643015521064292,93152,,-23763.9009,98.98726507963363,0.0,0.08479102805480543,Technology services,Technology Services,america,
17,NASDAQ,MENS,Jyong Biotech Ltd.,jyong-biotech-ltd,stock,['common'],3203924938.24,USD,43.16,100,1,false,0,USD,-9.422875131164748,63806,,-0.0407,,0.0,0.3638993336933963,Health technology,Health Technology,america,
18,NASDAQ,GOGO,Gogo Inc.,gogo,stock,['common'],1490590099.7558994,USD,11.15,100,1,false,0,USD,-9.275834011391366,5571552,248.88392857142858,0.0448,-91.08102727453713,0.0,2.7518109478330857,Communications,Communications,america,1.6
