,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NYSE,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,stock,['common'],344091000000.0,USD,718680.0,100,1,false,0,USD,0.4457907409269073,269,1034049232304.2744,16.420130483192455,43768.2271,-7.203717980527366,0.0,0.5527018697349497,1.6,Finance,Finance,america
1,NASDAQ,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],96892000000.0,USD,230.98,100,1,false,0,USD,2.8589241182757337,61545413,2463381372241.8022,35.24905383958002,6.5528,56.99465727497067,0.0,1.0434689460918916,1.135714,Retail trade,Retail Trade,america
2,NASDAQ,GOOG,Alphabet Inc.,alphabet,stock,['common'],95148000000.0,USD,203.82,100,1,false,0,USD,0.3891050583657548,17777139,2457840893202.9336,21.709538264898544,9.3885,34.66972674460303,0.398955819337044,0.8798690263054599,1.235714,Technology services,Technology Services,america
3,NASDAQ,MSFT,Microsoft Corporation,microsoft,stock,['common'],94565000000.0,USD,522.48,100,1,false,0,USD,0.36497752506818876,20268871,3883680962456.058,38.30049261083744,13.6416,15.596003762361141,0.622382726958392,0.856732648406396,1.114754,Technology services,Technology Services,america
4,NASDAQ,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,stock,['common'],86717000000.0,USD,63.92,100,1,false,0,USD,0.6772720113403681,3688243,28460213202.929596,33.52388944249226,1.9067,20.853140647778407,0.421326193101276,0.8215780931814002,1.4,Finance,Finance,america
5,NYSE,SCHW,Charles Schwab Corporation (The),schwab,stock,['common'],58600000000.0,USD,97.78,100,1,false,0,USD,2.291034627053037,11310695,177492130319.54385,26.32528336429475,3.7143,54.33165745626793,1.08797991421697,1.4385111899246408,1.357143,Finance,Finance,america
6,NYSE,AXP,American Express Company,american-express,stock,['common'],57937000000.0,USD,307.73,100,1,false,0,USD,0.2802489653599288,2108347,214143845441.81464,21.605397663446418,14.2432,6.257646742860547,0.990647505458337,0.8462263273231452,1.716667,Finance,Finance,america
7,NASDAQ,AAPL,Apple Inc.,apple,stock,['common'],55372000000.0,USD,232.78,100,1,false,0,USD,-0.23571765310933498,51914937,3454545929472.3076,35.3865799154784,6.5782,0.15682333774874735,0.432863326618952,0.6454561731885685,1.5,Electronic technology,Electronic Technology,america
8,NASDAQ,NVDA,NVIDIA Corporation,nvidia,stock,['common'],53691000000.0,USD,182.02,100,1,false,0,USD,0.2367971804614829,129551705,4441287910433.41,58.63101948784024,3.1045,81.60280783854927,0.0220276446940911,0.8060820264334954,1.2,Electronic technology,Electronic Technology,america
9,NASDAQ,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],47232000000.0,USD,782.13,100,1,false,0,USD,0.2627935596349034,8116096,1964681196786.6184,28.324907289373044,27.6128,40.97873535343221,0.262793559634909,0.5700346779402217,1.228571,Technology services,Technology Services,america
10,NYSE,F,Ford Motor Company,ford,stock,['common'],37504000000.0,USD,11.44,100,1,false,0,USD,0.0,52469244,45529601040.0,14.59742248309302,0.7837,-17.574673958771562,6.55594405594406,0.7691998456230169,2.019231,Consumer durables,Consumer Durables,america
11,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],37341000000.0,USD,335.58,100,1,false,0,USD,-1.119688844363254,74999168,1082396182472.1437,194.3363446838082,1.7268,-51.50391776897801,0.0,0.936015545169176,1.794118,Consumer durables,Consumer Durables,america
12,NYSE,GM,General Motors Company,general-motors,stock,['common'],32282000000.0,USD,56.42,100,1,false,0,USD,1.5113350125944647,6647614,53716232363.99748,8.943914270314828,6.3082,-29.071937754390703,0.917596257646635,0.8948413412598337,1.612903,Consumer durables,Consumer Durables,america
13,NYSE,BA,Boeing Company (The),boeing,stock,['common'],22967000000.0,USD,233.19,100,1,false,0,USD,-0.07713073659853743,5320751,176328413835.17584,,-16.5217,-193.5677606211908,0.0,0.8836513658342041,1.303571,Electronic technology,Electronic Technology,america
14,NYSE,V,Visa Inc.,visa,stock,['common'],22915000000.0,USD,345.49,100,1,false,0,USD,0.8582688658589979,6224008,665621308791.3793,34.10529017482552,10.1301,10.047581801590416,0.668515545175887,0.8911803981343311,1.317073,Finance,Finance,america
15,NYSE,BN,Brookfield Corporation,brookfield,stock,['common'],22903853638.249996,USD,65.6,100,1,false,0,USD,-0.9437523593808986,2864300,108162967632.30531,148.6064183927627,0.44143449999999995,-22.726337157888167,0.520348760693134,0.994407874774387,1.363636,Finance,Finance,america
16,NASDAQ,INTC,Intel Corporation,intel,stock,['common'],21206000000.0,USD,23.86,100,1,false,0,USD,7.380738073807383,188037023,104435216773.20883,,-4.7628,-2174.3902439024387,2.25022502250225,1.8550420863861201,2.045455,Electronic technology,Electronic Technology,america
17,NYSE,SYF,Synchrony Financial,synchrony,stock,['common'],19457000000.0,USD,72.83,100,1,false,0,USD,0.33062405289984137,2589838,27096950447.973137,8.849654300885817,8.2297,14.264887605348282,1.44648023143684,0.6983538715695433,1.44,Finance,Finance,america
