,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,CGTX,"Cognition Therapeutics, Inc.",cognition-therapeutics,stock,['common'],206456879.17587942,USD,2.81,100,1,false,0,USD,41.20603015075377,21028989,,-0.6576,29.57806810880274,0.0,1.401419913881505,1.0,Health technology,Health Technology,america
1,NASDAQ,OPEN,Opendoor Technologies Inc,opendoor,stock,['common'],3687130256.7083325,USD,5.01,100,1,false,0,USD,39.16666666666666,657068054,,-0.4256,27.59441987070432,0.0,2.629423590105174,2.277778,Finance,Finance,america
2,NYSE,UI,Ubiquiti Inc.,ubiquiti-networks,stock,['common'],30864448652.69949,USD,510.23,100,1,false,0,USD,30.63727372814093,701942,56.23794460303989,9.0727,56.77996854965524,0.614486519701974,5.122370554589862,2.25,Electronic technology,Electronic Technology,america
3,NASDAQ,FMFC,Kandal M Venture Limited,kandal-m-venture-limited,stock,['common'],,USD,9.4,100,1,false,0,USD,30.374479889043,6311707,,,,,10.398569372485083,,Consumer non-durables,Consumer Non-Durables,america
4,NASDAQ,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],83985979.94545454,USD,2.81,100,1,false,0,USD,27.727272727272716,17348654,8.909321496512366,0.3154,,0.0,35.031282232289755,,Commercial services,Commercial Services,america
5,NASDAQ,OCG,Oriental Culture Holding LTD,oriental-culture-ltd,stock,['common'],72359337.86530909,USD,3.4899,100,1,false,0,USD,26.905454545454543,300277,,-0.3056,63.86425446375784,0.0,24.154721109448655,,Retail trade,Retail Trade,america
6,NASDAQ,ELAB,PMGC Holdings Inc.,pmgc,stock,['common'],3519039.9523809524,USD,2.37,100,1,false,0,USD,25.396825396825406,158421130,,,,0.0,4989.044775743377,,Health technology,Health Technology,america
7,NASDAQ,BAFN,BayFirst Financial Corp.,bayfirst-financial,stock,['common'],34267855.3438914,USD,8.29,100,1,false,0,USD,25.037707390648556,104680,4.805239972177138,1.7252,81.50447133087849,4.82654600301659,5.012521727471665,,Finance,Finance,america
8,NASDAQ,AGH,Aureus Greenway Holdings Inc.,aureus-greenway,stock,['common'],52592356.800000004,USD,3.6,100,1,false,0,USD,24.137931034482765,179015,,,,0.0,0.4005515064956627,,Consumer services,Consumer Services,america
9,NASDAQ,LASE,Laser Photonics Corporation,laser-photonics,stock,['common'],72380082.97317074,USD,5.07,100,1,false,0,USD,23.658536585365873,3261936,,-0.3292,66.8512737891451,0.0,0.2181013351313117,,Electronic technology,Electronic Technology,america
10,NASDAQ,XFOR,"X4 Pharmaceuticals, Inc.",x4-pharmaceuticals,stock,['common'],88000602.66666666,USD,3.92,100,1,false,0,USD,23.270440251572317,3287252,,-14.7989,-676.4831911495462,0.0,0.16448638258234852,1.0,Health technology,Health Technology,america
11,NASDAQ,AYRO,"AYRO, Inc.",ayro,stock,['common'],4781824.612173914,USD,7.08,100,1,false,0,USD,23.130434782608695,515406,,-51.8008,53.12585964759877,0.0,31.217618306370042,,Producer manufacturing,Producer Manufacturing,america
12,NASDAQ,LIMN,"Liminatus Pharma, Inc.",liminatus-pharma,stock,['common'],92290395.16906476,USD,3.41,100,1,false,0,USD,22.661870503597136,35648869,,-0.2868,-46.02851323828921,0.0,69.41091337729951,,Health technology,Health Technology,america
13,AMEX,MTNB,"Matinas Biopharma Holdings, Inc.",matinas-biopharma,stock,['common'],10835276.948275862,USD,2.13,100,1,false,0,USD,22.41379310344827,362460,,-3.8629,24.301391338428378,0.0,0.13256401875470356,,Health technology,Health Technology,america
14,NASDAQ,DBGI,"Digital Brands Group, Inc.",digital-brands,stock,['common'],48034672.09478382,USD,10.695,100,1,false,0,USD,21.752692333963253,100988,,-89.6589,93.06617223418777,0.0,0.2848936140081403,,Consumer non-durables,Consumer Non-Durables,america
15,NASDAQ,DFDV,DeFi Development Corp.,janover,stock,['common'],425320469.62552685,USD,20.21,100,1,false,0,USD,21.67369054786274,3829677,32.43460118761034,0.6231,,0.0,0.9991421784441029,1.0,Finance,Finance,america
16,NASDAQ,IPA,ImmunoPrecise Antibodies Ltd.,immunoprecise-antibodies,stock,['common'],147693183.269962,USD,3.2,100,1,false,0,USD,21.67300380228138,3000900,,-0.6682,12.240609403729966,0.0,1.4759531625747973,1.0,Health technology,Health Technology,america
17,NASDAQ,ENGS,Energys Group Limited,energys-limited,stock,['common'],57000000.00000001,USD,4.0,100,1,false,0,USD,20.48192771084338,94273,,-0.0804,58.93769152196119,0.0,0.5964769309906947,,Electronic technology,Electronic Technology,america
18,NASDAQ,ACMR,"ACM Research, Inc.",acm-research,stock,['common'],1959444877.3647013,USD,30.53,100,1,false,0,USD,19.2112456071847,5775490,18.523237471180682,1.6482,31.100859051861278,0.0,5.421399937333005,1.125,Producer manufacturing,Producer Manufacturing,america
19,NASDAQ,ALTS,ALT5 Sigma Corporation,janone,stock,['common'],798973574.5403446,USD,6.57,100,1,false,0,USD,19.129646418857675,15770831,,-0.9904,68.96173493371775,0.0,0.8618492962619877,1.0,Industrial services,Industrial Services,america
20,NASDAQ,ATLN,Atlantic International Corp.,atlantic-international,stock,['common'],274948552.6666667,USD,4.71,100,1,false,0,USD,18.939393939393938,94111,,-1.8454,83.83213597336604,0.0,0.5736181137301178,,Health technology,Health Technology,america
21,NASDAQ,BNC,CEA Industries Inc.,cea-industries,stock,['common'],22985573.361147325,USD,27.32,100,1,false,0,USD,18.73098652759669,345744,,-4.2148,16.120044578888702,0.0,0.7320921747040454,1.0,Producer manufacturing,Producer Manufacturing,america
22,NASDAQ,TAOX,Tao Synergies Inc.,synaptogenix,stock,['common'],26676673.186046515,USD,7.65,100,1,false,0,USD,18.6046511627907,339418,,-19.966,-437.50067301997524,0.0,1.0631024658660098,,Technology services,Technology Services,america
23,NASDAQ,ONDS,Ondas Holdings Inc.,ondas,stock,['common'],1222457842.7947369,USD,4.49,100,1,false,0,USD,18.157894736842117,65682020,,-0.5204,28.13147355337661,0.0,1.3296282058879558,1.166667,Electronic technology,Electronic Technology,america
24,NYSE,TSE,Trinseo PLC,trinseo,stock,['common'],93836224.58823532,USD,2.61,100,1,false,0,USD,18.099547511312213,442226,,-10.9771,13.42161718774648,1.80995475113122,1.3353762402158944,1.8,Process industries,Process Industries,america
25,AMEX,LPA,Logistic Properties of the Americas,logistic-properties-of-the-americas,stock,['common'],212818152.0753065,USD,6.73,100,1,false,0,USD,17.863397548161128,38236,31.12858464384829,0.2162,,0.0,2.538152610441767,,Finance,Finance,america
26,NASDAQ,PLUR,Pluri Inc.,pluristem-therapeutics,stock,['common'],44489176.24896265,USD,5.68,100,1,false,0,USD,17.84232365145227,45841,,-3.6056,13.572079198427542,0.0,3.8953942895989124,1.0,Health technology,Health Technology,america
27,NASDAQ,NUKK,Nukkleus Inc.,nukkleus,stock,['common'],29705428.235294122,USD,4.2,100,1,false,0,USD,17.64705882352942,424594,0.21094291482928693,19.9106,,0.0,1.4940791964653934,,Commercial services,Commercial Services,america
28,NASDAQ,BRFH,Barfresh Food Group Inc.,barfresh-food,stock,['common'],47820782.352941185,USD,3.0,100,1,false,0,USD,17.64705882352942,28042,,-0.1982,-7.309149972929066,0.0,9.459906217319434,1.0,Consumer non-durables,Consumer Non-Durables,america
29,AMEX,EP,Empire Petroleum Corporation,empire-petroleum,stock,['common'],189091781.17647058,USD,5.6,100,1,false,0,USD,17.64705882352941,42472,,-0.5162,17.73705179282868,0.0,2.2625065922299585,,Energy minerals,Energy Minerals,america
