,ticker,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
21,NASDAQ:SBET,SBET,"SharpLink Gaming, Inc.",sharplink-gaming,stock,['common'],2523113656.6800003,USD,22.335,100,1,false,0,-6.626254180602009,112966808,2.704164859739824,2232426641.71342,USD,,-9.083,98.90192283792561,0.0,Commercial services,america,Commercial Services,
22,NYSE:CRM,CRM,"Salesforce, Inc.",salesforce,stock,['common'],2497296735.36,USD,232.68,100,1,false,0,-3.255581888486959,10732752,1.6663853842095304,222442074919.95065,USD,36.39435033550748,6.3933,14.98534199025197,0.678558064113758,Technology services,america,Technology Services,1.237288
23,NYSE:ORCL,ORCL,Oracle Corporation,oracle,stock,['common'],2276850965.44,USD,252.68,100,1,false,0,1.0517896420715838,9010808,0.8843663033967898,709735933075.7008,USD,58.20912713953327,4.3409,17.115877512478086,0.719856028794241,Technology services,america,Technology Services,1.406977
24,NASDAQ:COST,COST,Costco Wholesale Corporation,costco-wholesale,stock,['common'],2263614434.82,USD,988.74,100,1,false,0,0.7910456890048717,2289393,0.9971764583924521,438483520633.36224,USD,56.08504024550039,17.6293,9.270714533644068,0.48726783420661,Retail trade,america,Retail Trade,1.551282
25,NASDAQ:INTU,INTU,Intuit Inc.,intuit,stock,['common'],2255999915.4,USD,706.09,100,1,false,0,-5.728971962616818,3195060,2.0604821076446576,196961680851.62225,USD,57.45707543331435,12.289,13.566213843452546,0.555407209612817,Technology services,america,Technology Services,1.308824
26,NYSE:IBM,IBM,International Business Machines Corporation,international-bus-mach,stock,['common'],2216108358.4,USD,236.3,100,1,false,0,-2.4641928426961646,9378368,1.6215464322528388,220117997003.26205,USD,38.32803477583858,6.1652,-32.04743849748701,2.76138192925249,Technology services,america,Technology Services,1.717391
27,NASDAQ:CSCO,CSCO,"Cisco Systems, Inc.",cisco,stock,['common'],2043008853.13,USD,70.67,100,1,false,0,-1.560105864326514,28909139,1.4357392993052787,279853082794.50885,USD,28.963114754098363,2.44,-17.800835466918205,2.25658169661513,Electronic technology,america,Electronic Technology,1.518519
28,NYSE:NOW,NOW,"ServiceNow, Inc.",servicenow,stock,['common'],2029059956.01,USD,856.37,100,1,false,0,-1.8498355319709787,2369373,1.4604317956895876,178124961993.42984,USD,107.78593095115228,7.9451,43.675292500768556,0.0,Technology services,america,Technology Services,1.195652
29,NASDAQ:TTD,TTD,"The Trade Desk, Inc.",the-trade-desk,stock,['common'],2000253399.375,USD,53.175,100,1,false,0,-1.945417665498801,37616425,1.9356120791532083,25998600559.49751,USD,64.11261152640462,0.8294,63.65430149960536,0.0,Technology services,america,Technology Services,1.511905
30,NASDAQ:SOUN,SOUN,"SoundHound AI, Inc.",soundhound-ai,stock,['common'],1939020057.3,USD,15.9,100,1,false,0,17.343173431734314,121950947,2.609106565709311,6387576287.623616,USD,,-0.6245,-60.87068521380733,0.0,Technology services,america,Technology Services,1.277778
31,NYSE:V,V,Visa Inc.,visa,stock,['common'],1919792111.1999998,USD,335.9,100,1,false,0,-0.26129817685135565,5715368,0.7500556173409357,647145227879.8046,USD,33.15860652905697,10.1301,10.047581801590416,0.679969119306372,Finance,america,Finance,1.302326
32,NYSE:CRCL,CRCL,"Circle Internet Group, Inc.",circle-internet-group-inc,stock,['common'],1908972746.3899999,USD,161.17,100,1,false,0,1.345658051939877,11844467,1.2597681226756459,33467042366.899998,USD,,,,0.0,Technology services,america,Technology Services,1.84375
33,NYSE:MP,MP,MP Materials Corp.,mp-materials,stock,['common'],1731157417.8,USD,72.69,100,1,false,0,-2.1932185145317487,23815620,1.7359127676795816,12871125610.469324,USD,,-0.6189,-53.87866732968673,0.0,Non-energy minerals,america,Non-Energy Minerals,1.375
34,NASDAQ:PANW,PANW,"Palo Alto Networks, Inc.",palo-alto-networks,stock,['common'],1718238632.2399998,USD,168.17,100,1,false,0,0.6644319406201276,10217272,0.6457693098370494,112248936547.10587,USD,96.23462088698139,1.7475,-49.128118540944946,0.0,Technology services,america,Technology Services,1.412281
35,NYSE:BAC,BAC,Bank of America Corporation,bank-of-america,stock,['common'],1641384514.3999999,USD,46.16,100,1,false,0,0.3260160834601143,35558590,1.061783578397037,341904673308.3121,USD,13.518025009517673,3.4147,20.075251424150782,2.26037817865681,Finance,america,Finance,1.351852
36,NYSE:IONQ,IONQ,"IonQ, Inc.",ionq,stock,['common'],1598044514.22,USD,44.94,100,1,false,0,7.3835125448028585,35559513,1.7089121445413458,13339888832.385662,USD,,-2.0174,-154.69006438580985,0.0,Electronic technology,america,Electronic Technology,1.4375
37,NYSE:JPM,JPM,JP Morgan Chase & Co.,jpmorgan-chase,stock,['common'],1595383519.92,USD,289.56,100,1,false,0,0.2770466823659826,5509682,0.6626333658186743,796218697328.0837,USD,14.857230816593551,19.4895,8.70498862165901,1.83543427067461,Finance,america,Finance,1.625
38,NASDAQ:MNDY,MNDY,monday.com Ltd.,monday-com,stock,['common'],1590952501.27,USD,174.13,100,1,false,0,-29.797613288179324,9136579,10.20343370243241,8841160497.530117,USD,176.62034689116544,0.9859,163.11716039498265,0.0,Technology services,america,Technology Services,1.230769
39,NASDAQ:NBIS,NBIS,Nebius Group N.V.,nebius-group-nv,stock,['common'],1512369328.9599998,USD,70.24,100,1,false,0,2.1227100901424745,21531454,1.4373372106908344,16739851349.024715,USD,,,,0.0,Technology services,america,Technology Services,1.1
40,NYSE:UBER,UBER,"Uber Technologies, Inc.",uber,stock,['common'],1509432909.8799999,USD,90.58,100,1,false,0,1.1389012952210764,16664086,0.7506705569796329,188897220803.21436,USD,15.368953289105315,5.8937,534.0720817643895,0.0,Transportation,america,Transportation,1.245614
41,NASDAQ:SHOP,SHOP,Shopify Inc.,shopify,stock,['common'],1493892980.0,USD,147.5,100,1,false,0,-1.4103335338546978,10128088,0.8692640017319214,191700473986.91818,USD,81.40784912956521,1.8118645999999998,86.71901922731294,0.0,Commercial services,america,Commercial Services,1.471698
42,NASDAQ:ADBE,ADBE,Adobe Inc.,adobe,stock,['common'],1455453034.75,USD,333.65,100,1,false,0,-2.169769828470909,4362215,1.0585414711472487,141534329007.02313,USD,21.336121449308724,15.6378,40.438257745846435,0.0,Technology services,america,Technology Services,1.428571
43,NASDAQ:AMAT,AMAT,"Applied Materials, Inc.",applied-materials,stock,['common'],1441031846.52,USD,184.38,100,1,false,0,-0.26505111700114087,7815554,1.3113341457156247,147964608481.6039,USD,22.44130426844853,8.2161,-5.589198506176383,0.897928273922216,Producer manufacturing,america,Producer Manufacturing,1.385714
44,NASDAQ:SMCI,SMCI,"Super Micro Computer, Inc.",super-micro-computer,stock,['common'],1437255904.4,USD,45.2,100,1,false,0,1.345291479820631,31797697,0.5715279849579475,26976155814.9148,USD,27.27492155442916,1.6572,-12.957613320027308,0.0,Electronic technology,america,Electronic Technology,1.789474
45,NYSE:XOM,XOM,Exxon Mobil Corporation,exxon,stock,['common'],1435909588.91,USD,105.83,100,1,false,0,-0.9082397003745308,13568077,0.8384921038599815,451179450343.6292,USD,15.00411149232994,7.0534,-15.554438139022588,3.67041198501873,Energy minerals,america,Energy Minerals,1.516667
46,NYSE:CAT,CAT,"Caterpillar, Inc.",caterpillar,stock,['common'],1395603280.5,USD,408.54,100,1,false,0,-1.915874387784491,3416075,0.9902216311427141,191392382272.49237,USD,20.774347083231632,19.6656,-10.421164830960112,1.37808508595025,Producer manufacturing,america,Producer Manufacturing,1.615385
47,NYSE:HIMS,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,stock,['common'],1345018827.1799998,USD,49.98,100,1,false,0,-3.773584905660379,26911141,0.6354783000563996,11296458085.698112,USD,62.553191489361694,0.799,968.1818181818181,0.0,Health services,america,Health Services,1.866667
48,NYSE:WMT,WMT,Walmart Inc.,walmart,stock,['common'],1336263761.58,USD,103.94,100,1,false,0,0.20244866480284754,12856107,0.8123254910350144,829484670515.6726,USD,44.59030459030459,2.331,-0.4186602870813505,0.853176515954883,Retail trade,america,Retail Trade,1.178571
49,NASDAQ:SOFI,SOFI,"SoFi Technologies, Inc.",sofi,stock,['common'],1309254619.3400002,USD,22.42,100,1,false,0,1.4479638009049787,58396727,0.6240830547894016,26576343324.922173,USD,45.219846712384026,0.4958,,0.0,Finance,america,Finance,1.978261
50,NYSE:JNJ,JNJ,Johnson & Johnson,johnson-and-johnson,stock,['common'],1261351772.1,USD,173.82,100,1,false,0,0.2826977441873771,7256655,0.8208412091514946,418617466316.3871,USD,18.5903743315508,9.35,35.14880823323648,2.8962095424912,Health technology,america,Health Technology,1.62
51,NYSE:RDDT,RDDT,"Reddit, Inc.",reddit,stock,['common'],1227413929.25,USD,220.75,100,1,false,0,2.4647233568510964,5560199,0.5158846087967592,41314729234.93432,USD,186.33409301932977,1.1847,,0.0,Technology services,america,Technology Services,1.448276
52,NYSE:MA,MA,Mastercard Incorporated,mastercard,stock,['common'],1214104186.8400002,USD,573.59,100,1,false,0,-0.12710683939267622,2116676,0.7149501807459308,518532155006.09045,USD,38.692552093522124,14.8243,13.273274650039731,0.511909736732135,Finance,america,Finance,1.365854
53,NASDAQ:DASH,DASH,"DoorDash, Inc.",doordash,stock,['common'],1213436112.7099998,USD,256.09,100,1,false,0,-1.1960337976002249,4738319,1.1481788632708934,109419635914.1533,USD,142.47802381217312,1.7974,,0.0,Transportation,america,Transportation,1.4
54,NYSE:ABBV,ABBV,AbbVie Inc.,abbvie,stock,['common'],1205712593.5,USD,198.7,100,1,false,0,0.32819994950768855,6068005,1.1003932070904578,351015125220.5932,USD,94.5605101603769,2.1013,-29.71770687002474,3.26685180509972,Health technology,america,Health Technology,1.465517
55,NASDAQ:TXN,TXN,Texas Instruments Incorporated,texas-instruments,stock,['common'],1186314673.4,USD,183.71,100,1,false,0,-1.8747997008866524,6457540,0.9287495916475503,167017597392.51736,USD,33.582553378180755,5.4704,-5.108501448420618,2.90567247088986,Electronic technology,america,Electronic Technology,1.6875
56,NYSE:OKLO,OKLO,Oklo Inc.,altc,stock,['common'],1180428338.94,USD,71.86,100,1,false,0,-4.593733404142318,16426779,0.9097148754510646,10505726693.346786,USD,,-5.399,-2987.16577540107,0.0,Producer manufacturing,america,Producer Manufacturing,1.464286
57,NYSE:PG,PG,Procter & Gamble Company (The),procter-and-gamble,stock,['common'],1136185346.52,USD,154.98,100,1,false,0,0.9575923392612852,7331174,0.8917661792754882,363020734793.37616,USD,23.81852551984877,6.5067,8.1008788689339,2.68816363754804,Consumer non-durables,america,Consumer Non-Durables,1.44
58,NYSE:C,C,"Citigroup, Inc.",citigroup,stock,['common'],1119994368.39,USD,92.31,100,1,false,0,-0.45292785506308825,12132969,0.8240225945086989,169933284575.6089,USD,13.64805724761961,6.7636,88.80607430980098,2.41561522700313,Finance,america,Finance,1.375
59,NASDAQ:RKLB,RKLB,Rocket Lab Corporation,rocket-lab,stock,['common'],1119768413.76,USD,45.02,100,1,false,0,0.7384202282389918,24872688,1.4345310636594424,21580593531.394497,USD,,-0.4575,-26.3463131731566,0.0,Electronic technology,america,Electronic Technology,1.375
60,NYSE:WFC,WFC,Wells Fargo & Company,wells-fargo,stock,['common'],1117760531.3300002,USD,77.59,100,1,false,0,-0.3339755940911894,14405987,1.0245154041676734,248554994896.17703,USD,13.306921863209165,5.8308,19.635602609873196,2.05523442517662,Finance,america,Finance,1.462963
61,NYSE:ACN,ACN,Accenture plc,accenture,stock,['common'],1115435416.42,USD,238.61,100,1,false,0,-0.24665551839463837,4674722,0.8489535548480219,148618871576.62048,USD,18.990505145367578,12.5647,15.009748372982829,2.47491638795987,Technology services,america,Technology Services,1.5
62,NYSE:AI,AI,"C3.ai, Inc.",c3-ai,stock,['common'],1101915237.4199998,USD,16.47,100,1,false,0,-25.57614098508812,66904386,10.87733463267503,2155691359.460009,USD,,-2.232,4.684630823760503,0.0,Technology services,america,Technology Services,2.0
63,NYSE:BA,BA,Boeing Company (The),boeing,stock,['common'],1100361253.32,USD,225.96,100,1,false,0,-1.3791899441340767,4869717,0.6186915443061043,170861393605.01343,USD,,-16.5217,-193.5677606211908,0.0,Electronic technology,america,Electronic Technology,1.327586
64,NASDAQ:DDOG,DDOG,"Datadog, Inc.",datadog,stock,['common'],1099288740.2900002,USD,128.83,100,1,false,0,-1.5888778550148834,8532863,1.2126541504575374,44439551388.6723,USD,372.2334585379948,0.3461,-24.76086956521739,0.0,Technology services,america,Technology Services,1.26087
65,NYSE:GEV,GEV,GE Vernova Inc.,ge-verona,stock,['common'],1097886783.84,USD,650.76,100,1,false,0,0.25728327350597896,1687084,0.6708102678403686,177152457215.25085,USD,155.71773826900528,4.1791,-3.2257317525009155,0.115546380317059,Producer manufacturing,america,Producer Manufacturing,1.458333
66,NASDAQ:WDAY,WDAY,"Workday, Inc.",workday,stock,['common'],1088220812.49,USD,213.69,100,1,false,0,-3.773584905660375,5092521,1.748925587154913,57055231882.188675,USD,117.99558255107675,1.811,-67.30515787763356,0.0,Technology services,america,Technology Services,1.365854
67,NYSE:PPL,PPL,PPL Corporation,ppl,stock,['common'],1080378129.2,USD,36.28,100,1,false,0,-0.19257221458046844,29778890,5.275956356328413,26829612463.056946,USD,27.274094121184785,1.3302,17.126001584925607,2.91609353507565,Utilities,america,Utilities,1.433333
68,NASDAQ:EA,EA,Electronic Arts Inc.,electronic-arts,stock,['common'],1078652088.47,USD,176.11,100,1,false,0,5.0524934383202265,6124877,1.702757889320683,44064005796.09712,USD,44.21541551594276,3.983,-6.412274724500095,0.453352421856359,Technology services,america,Technology Services,1.612903
69,NYSE:ANET,ANET,"Arista Networks, Inc.",arista-networks,stock,['common'],1078515555.3,USD,137.65,100,1,false,0,-1.0992958758442313,7835202,0.6123308085088046,173007507210.82953,USD,54.12898151789225,2.543,31.843633347158857,0.0,Electronic technology,america,Electronic Technology,1.224138
70,NASDAQ:CRWD,CRWD,"CrowdStrike Holdings, Inc.",crowdstrike,stock,['common'],1075868817.81,USD,426.43,100,1,false,0,0.4570190110485518,2522967,0.8728254840975552,106286894238.63191,USD,,-0.6987,-231.3099041533546,0.0,Technology services,america,Technology Services,1.471698
71,NASDAQ:VRTX,VRTX,Vertex Pharmaceuticals Incorporated,vertex-pharmaceutical,stock,['common'],1045754442.0,USD,374.46,100,1,false,0,2.1607464396791505,2792700,0.8450386891070679,96008047103.03224,USD,26.76568765501812,13.9903,,0.0,Health technology,america,Health Technology,1.455882
72,NYSE:ETN,ETN,"Eaton Corporation, PLC",eaton,stock,['common'],1026362114.85,USD,360.11,100,1,false,0,-0.7523977510748433,2850135,0.8999032318320037,140190817189.0529,USD,36.229828162099075,9.9396,9.320076549130027,1.09139014441627,Producer manufacturing,america,Producer Manufacturing,1.466667
73,NYSE:HD,HD,"Home Depot, Inc. (The)",home-depot,stock,['common'],1009773744.9799999,USD,387.53,100,1,false,0,-0.0825061235013665,2605666,0.8816713406989735,385564445581.8646,USD,26.290509691118903,14.7403,-1.110306055360999,2.34626788706974,Retail trade,america,Retail Trade,1.434211
74,NYSE:ALB,ALB,Albemarle Corporation,albemarle,stock,['common'],1007010734.5200001,USD,80.76,100,1,false,0,6.99523052464229,12469177,2.265334917900715,9504073849.00318,USD,,-9.3269,-97.24442752611766,2.14626391096979,Process industries,america,Process Industries,1.851852
75,NASDAQ:FTNT,FTNT,"Fortinet, Inc.",fortinet,stock,['common'],1001034838.7199999,USD,74.57,100,1,false,0,0.24196800645247024,13424096,1.311411555242866,57077103676.586365,USD,29.760146865147462,2.5057,48.05601512644766,0.0,Technology services,america,Technology Services,1.804348
76,NYSE:SNOW,SNOW,Snowflake Inc.,snowflake,stock,['common'],999470183.6,USD,191.8,100,1,false,0,0.0365096750639032,5211002,1.089961829806552,63995600960.744804,USD,,-4.207,-49.96078990518285,0.0,Technology services,america,Technology Services,1.283019
77,NASDAQ:TMUS,TMUS,"T-Mobile US, Inc.",t-mobile,stock,['common'],989551169.99,USD,248.87,100,1,false,0,1.5878847252837027,3976177,0.992671558951493,280083008034.90967,USD,23.46966682069805,10.6039,32.77280410693043,1.34296677279778,Communications,america,Communications,1.5
78,NYSE:GTLS,GTLS,"Chart Industries, Inc.",chart-industries,stock,['common'],976817767.7299999,USD,198.73,100,1,false,0,0.040271834885468955,4915301,0.6083046230721173,8932000631.519104,USD,36.841422268362315,5.3942,152.4901703800786,0.0,Producer manufacturing,america,Producer Manufacturing,1.875
79,NYSE:UNP,UNP,Union Pacific Corporation,union-pacific,stock,['common'],970773706.35,USD,219.65,100,1,false,0,-1.1654067674586048,4419639,0.7402867988059237,130261194174.18849,USD,19.07926167209555,11.5125,8.150381873009605,2.41180705543557,Transportation,america,Transportation,1.428571
80,NYSE:DIS,DIS,Walt Disney Company (The),walt-disney,stock,['common'],959722628.9,USD,112.55,100,1,false,0,0.10673307835985978,8527078,0.8134974196139866,202357454004.13275,USD,17.64549103223379,6.3784,144.60806872219663,0.88944231966557,Consumer services,america,Consumer Services,1.28125
81,NASDAQ:GILD,GILD,"Gilead Sciences, Inc.",gilead,stock,['common'],957796253.12,USD,120.47,100,1,false,0,0.8876978477514466,7950496,1.105845805278767,149480009992.18976,USD,23.963637810311905,5.0272,514.4219017355169,2.6128464952684,Health technology,america,Health Technology,1.28
82,NYSE:CVX,CVX,Chevron Corporation,chevron,stock,['common'],946679852.2499999,USD,153.45,100,1,false,0,-1.006386684730019,6169305,0.7280119888878931,314172586028.58136,USD,19.805622241152324,7.7478,-23.13080403206604,4.30939939358751,Energy minerals,america,Energy Minerals,1.534483
83,NYSE:BBAI,BBAI,"BigBear.ai, Inc.",bigbear-ai,stock,['common'],945875531.63,USD,7.09,100,1,false,0,-0.7002801120448154,133421139,1.9184745636055445,2064528640.6568627,USD,,-0.7731,13.581488933601605,0.0,Technology services,america,Technology Services,1.0
84,NYSE:F,F,Ford Motor Company,ford,stock,['common'],939098602.3000001,USD,11.14,100,1,false,0,-1.5901060070671353,84299695,1.2727064696039088,44335643402.48587,USD,14.21462294245247,0.7837,-17.574673958771562,6.62544169611307,Consumer durables,america,Consumer Durables,2.019231
85,NASDAQ:BKNG,BKNG,Booking Holdings Inc. Common Stock,booking,stock,['common'],938588186.75,USD,5364.25,100,1,false,0,-0.7706380609370089,174971,0.7114692811871389,173854732816.93896,USD,37.309150748652094,143.7784,0.6681645464596085,0.678886625933469,Consumer services,america,Consumer Services,1.397436
86,NYSE:PFE,PFE,"Pfizer, Inc.",pfizer,stock,['common'],936591010.7199999,USD,24.58,100,1,false,0,0.0,38103784,0.7084158224254575,139750825767.00003,USD,13.066128003402083,1.8812,,6.95687550854353,Health technology,america,Health Technology,1.708333
87,NYSE:ABT,ABT,Abbott Laboratories,abbott,stock,['common'],936033528.32,USD,131.36,100,1,false,0,-2.174560619600825,7125712,1.2411632346808443,228626690108.83173,USD,16.427392326546947,7.9964,152.38771580974026,1.72773309502532,Health technology,america,Health Technology,1.453125
88,NYSE:JCI,JCI,Johnson Controls International plc,johnson-controls,stock,['common'],935974627.8299999,USD,105.71,100,1,false,0,0.15158692562766138,8854173,1.5556947700053652,69175086546.94969,USD,31.395901395901394,3.367,40.71968905420654,1.4021790620559,Producer manufacturing,america,Producer Manufacturing,1.521739
89,NYSE:SHW,SHW,Sherwin-Williams Company (The),sherwin-williams,stock,['common'],931139490.3,USD,354.58,100,1,false,0,0.6871876419809061,2626035,1.3338257146792807,88408607038.70598,USD,35.21082004329606,10.0702,2.6597208771268024,0.854725124943207,Process industries,america,Process Industries,1.534483
90,NASDAQ:DUOL,DUOL,"Duolingo, Inc.",duolingo,stock,['common'],925036309.3799999,USD,340.59,100,1,false,0,-8.03315871901496,2715982,1.166499042163078,15458573280.419455,USD,141.540954993143,2.4063,73.60219320395352,0.0,Technology services,america,Technology Services,1.461538
91,NYSE:GE,GE,GE Aerospace,ge-aerospace,stock,['common'],924474956.8,USD,275.2,100,1,false,0,0.0690883967855706,3359284,0.807363144649841,291832914269.05493,USD,38.41590239680612,7.1637,70.00973016588746,0.465437620450165,Electronic technology,america,Electronic Technology,1.263158
92,NASDAQ:QCOM,QCOM,QUALCOMM Incorporated,qualcomm,stock,['common'],919300913.4399999,USD,147.97,100,1,false,0,0.27785307671455445,6212752,0.5816093547637117,159659627358.68134,USD,14.271247251263455,10.3684,34.39970964145905,2.33125508267823,Electronic technology,america,Electronic Technology,1.576923
93,NYSE:GS,GS,"Goldman Sachs Group, Inc. (The)",golden-sachs-etf-trust-goldman,stock,['common'],915441479.6,USD,719.24,100,1,false,0,-0.2814480014418973,1272790,0.6821293148984044,217729129754.65628,USD,15.84787590340208,45.384,45.71841387060523,1.66373202822799,Finance,america,Finance,1.685185
94,NASDAQ:MRVL,MRVL,"Marvell Technology, Inc.",marvell-tech,stock,['common'],914650144.8000001,USD,77.28,100,1,false,0,-0.07757951900698509,11835535,0.6174144400861818,66630813788.71683,USD,,-0.5738,49.440479337386556,0.310318076027929,Electronic technology,america,Electronic Technology,1.174419
95,NYSE:COF,COF,Capital One Financial Corporation,capital-one,stock,['common'],911808464.0,USD,208.25,100,1,false,0,0.009604763962930524,4378432,1.1581553468989019,133179482069.41724,USD,17.48677470820388,11.909,-6.73067886344412,1.15257167555107,Finance,america,Finance,1.3
