,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NYSE,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,stock,['common'],344091000000.0,USD,717250.0,100,1,false,0,USD,-0.19897590026159068,310,1031699806110.2451,16.387458380739393,43768.2271,-7.203717980527366,0.0,0.6972559604138551,1.666667,Finance,Finance,america
1,NASDAQ,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],96892000000.0,USD,231.03,100,1,false,0,USD,0.021646895835142163,39594332,2463914599053.6055,35.25668416554755,6.5528,56.99465727497067,0.0,0.7238403976713703,1.135714,Retail trade,Retail Trade,america
2,NASDAQ,GOOG,Alphabet Inc.,alphabet,stock,['common'],95148000000.0,USD,204.91,100,1,false,0,USD,0.5347855951329621,21095940,2472285914801.081,21.8256377483091,9.3885,34.66972674460303,0.397409478952017,1.0989292629161072,1.235714,Technology services,Technology Services,america
3,NASDAQ,MSFT,Microsoft Corporation,microsoft,stock,['common'],94565000000.0,USD,520.17,100,1,false,0,USD,-0.44212218649518814,25182097,3866510075799.8447,38.13115763546798,13.6416,15.596003762361141,0.620119430408819,1.226988846391791,1.116667,Technology services,Technology Services,america
4,NASDAQ,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,stock,['common'],86717000000.0,USD,63.31,100,1,false,0,USD,-0.9543178973717138,2783167,28188610741.737328,33.20396496564745,1.9067,20.853140647778407,0.418491864831039,0.6251314819920153,1.4,Finance,Finance,america
5,NYSE,SCHW,Charles Schwab Corporation (The),schwab,stock,['common'],58600000000.0,USD,96.11,100,1,false,0,USD,-1.7079157291879747,9535465,174460718812.9201,25.875669708962658,3.7143,54.33165745626793,1.06361219063203,1.1660819481939764,1.357143,Finance,Finance,america
6,NYSE,AXP,American Express Company,american-express,stock,['common'],57937000000.0,USD,305.47,100,1,false,0,USD,-0.7344100347707376,2727019,212571162524.05566,21.446725454953945,14.2432,6.257646742860547,0.987878984824359,1.1220081790411403,1.716667,Finance,Finance,america
7,NASDAQ,AAPL,Apple Inc.,apple,stock,['common'],55372000000.0,USD,231.59,100,1,false,0,USD,-0.5112123034624958,55995698,3436885820658.9673,35.20567936517588,6.5782,0.15682333774874735,0.433886072686657,0.722030983999998,1.51087,Electronic technology,Electronic Technology,america
8,NASDAQ,NVDA,NVIDIA Corporation,nvidia,stock,['common'],53691000000.0,USD,180.45,100,1,false,0,USD,-0.8625425777387218,156194571,4402980103348.816,58.12530198099533,3.1045,81.60280783854927,0.0219756070761455,1.030957359355801,1.192308,Electronic technology,Electronic Technology,america
9,NASDAQ,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],47232000000.0,USD,785.23,100,1,false,0,USD,0.3963535473642518,13356697,1972468249506.8818,28.43717406420211,27.6128,40.97873535343221,0.262104765192487,1.1961508448762599,1.235714,Technology services,Technology Services,america
10,NYSE,F,Ford Motor Company,ford,stock,['common'],37504000000.0,USD,11.44,100,1,false,0,USD,0.0,46096392,45529601040.0,14.59742248309302,0.7837,-17.574673958771562,6.55594405594406,0.7276394437801922,2.019231,Consumer durables,Consumer Durables,america
11,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],37341000000.0,USD,330.56,100,1,false,0,USD,-1.495917515942542,74097670,1066204370384.349,191.42923326384064,1.7268,-51.50391776897801,0.0,0.9367735067732447,1.794118,Consumer durables,Consumer Durables,america
12,NYSE,GM,General Motors Company,general-motors,stock,['common'],32282000000.0,USD,56.31,100,1,false,0,USD,-0.19496632399858105,5594331,53611500294.218544,8.926476649440412,6.3082,-29.071937754390703,0.903934774902517,0.8414975122088139,1.612903,Consumer durables,Consumer Durables,america
13,NYSE,BA,Boeing Company (The),boeing,stock,['common'],22967000000.0,USD,235.26,100,1,false,0,USD,0.8876881512929341,6285775,177893665857.1185,,-16.5217,-193.5677606211908,0.0,1.0892189594235298,1.303571,Electronic technology,Electronic Technology,america
14,NYSE,V,Visa Inc.,visa,stock,['common'],22915000000.0,USD,344.47,100,1,false,0,USD,-0.2952328576803907,4945847,663656180871.2426,34.00460015202219,10.1301,10.047581801590416,0.662826709890301,0.7335622575200281,1.317073,Finance,Finance,america
