,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,BSLK,"Bolt Projects Holdings, Inc.",bolt-projects,stock,['common'],4494678.0,USD,14.32,100,1,false,0,USD,556.880733944954,263850216,,-2.5118,70.94707134264829,0.0,834.789927983806,,Finance,Finance,america
1,NASDAQ,WBTN,WEBTOON Entertainment Inc.,webtoon-entertainment,stock,['common'],2208001656.6153846,USD,16.96,100,1,false,0,USD,81.19658119658122,15135193,,-0.7757,44.43807750161163,0.0,46.98232946811466,1.375,Technology services,Technology Services,america
2,NASDAQ,GBIO,Generation Bio Co.,generation-bio,stock,['common'],44310296.57777778,USD,6.61,100,1,false,0,USD,63.20987654320989,10012508,,-10.8262,54.71421878660108,0.0,23.76976687485919,1.5,Health technology,Health Technology,america
3,NASDAQ,RSLS,"ReShape Lifesciences, Inc.",reshape-lifesciences,stock,['common'],7635070.738916259,USD,3.2,100,1,false,0,USD,57.63546798029559,43675139,,-210.7045,93.5828369680999,0.0,191.223573030097,,Health technology,Health Technology,america
4,NASDAQ,SPNS,Sapiens International Corporation N.V.,sapiens,stock,['common'],2378560342.8881354,USD,42.56,100,1,false,0,USD,44.27118644067797,19317492,32.85471668982554,1.2954,10.2280462899932,2.0,52.047766222380055,2.25,Technology services,Technology Services,america
5,NASDAQ,PSKY,Paramount Skydance Corporation,,stock,['common'],15969800193.254328,USD,15.0,100,1,false,0,USD,36.73655423883317,133571075,,-0.0253,99.70087491132655,1.82315405651778,,2.240741,Commercial services,Commercial Services,america
6,NASDAQ,EDIT,"Editas Medicine, Inc.",editas-medicine,stock,['common'],257835604.22707424,USD,3.08,100,1,false,0,USD,34.49781659388647,7735710,,-2.8521,-20.861937452326476,0.0,4.753432849467837,1.785714,Health technology,Health Technology,america
7,NASDAQ,SONN,"Sonnet BioTherapeutics Holdings, Inc.",sonnet-biotherapeutics,stock,['common'],24743451.287625413,USD,3.95,100,1,false,0,USD,32.10702341137123,2985375,,-12.831,69.65073868555129,0.0,4.604029199295649,,Health technology,Health Technology,america
8,NASDAQ,UPC,Universe Pharmaceuticals Inc,universe-pharmaceuticals,stock,['common'],2478687.741935484,USD,4.4,100,1,false,0,USD,29.032258064516135,538504,7.189996099574184e-05,61196.1389,,0.0,14.98545989853929,,Health technology,Health Technology,america
9,NASDAQ,ARCT,Arcturus Therapeutics Holdings Inc.,arcturus-therapeutics,stock,['common'],521638525.5574211,USD,19.21,100,1,false,0,USD,29.012760241773,1807814,,-2.224,13.41249756667314,0.0,3.010214802922207,1.0,Health technology,Health Technology,america
