,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
0,NASDAQ,EPSM,Epsium Enterprise Limited,epsium-enterprise-limited,stock,['common'],1854448692.0,USD,40.41,100,1,false,0,USD,-70.71739130434783,288711,,,,0.0,0.67425830325521,Distribution services,Distribution Services,america,
1,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],1884094558.5,USD,109.5,100,1,false,0,USD,-47.10144927536232,2275541,,-0.0063,-250.00000000000006,0.0,0.5682032640323452,Commercial services,Commercial Services,america,
2,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],1805374656.0,USD,4.8,100,1,false,0,USD,-40.5940594059406,5819768,,-0.8621,-110.06335282651072,0.0,1.4008293962721385,Health services,Health Services,america,1.0
3,NASDAQ,OCTO,Eightco Holdings Inc.,eightco,stock,['common'],73408774.55090864,USD,24.11,100,1,false,0,USD,-39.98008464027882,6874653,,-3.997,49.65551119116295,0.0,0.30639112719956924,Technology services,Technology Services,america,
4,NASDAQ,SNPS,"Synopsys, Inc.",synopsys,stock,['common'],71756222192.5527,USD,387.78,100,1,false,0,USD,-35.83731819911644,21155574,30.36054022313564,12.7725,32.5608186648954,0.0,16.55679114849673,Technology services,Technology Services,america,1.25
5,NASDAQ,SNTG,Sentage Holdings Inc.,sentage,stock,['common'],11305460.449652778,USD,4.03,100,1,false,0,USD,-30.034722222222214,640203,,-0.787,-5.213903743315513,0.0,0.07066616210836552,Finance,Finance,america,
6,NASDAQ,INHD,Inno Holdings Inc.,inno,stock,['common'],55289837.20445062,USD,5.05,100,1,false,0,USD,-29.76356050069542,1753595,,-1.4727,24.55430327868853,0.0,0.11649477747693542,Producer manufacturing,Producer Manufacturing,america,
7,NASDAQ,CIGL,Concorde International Group Ltd,concorde-international-ltd,stock,['common'],87072905.39999999,USD,3.9,100,1,false,0,USD,-29.475587703435806,545302,,,,0.0,0.03446796075422726,Commercial services,Commercial Services,america,
8,NASDAQ,ALMU,"Aeluma, Inc.",aeluma,stock,['common'],209632048.1538461,USD,13.2,100,1,false,0,USD,-27.472527472527474,1570032,,-0.2406,34.97297297297297,0.0,6.285717259787402,Commercial services,Commercial Services,america,1.0
9,NASDAQ,ATMV,AlphaVest Acquisition Corp,alphavest-acquisition,stock,['common'],48995221.85958702,USD,12.71,100,1,false,0,USD,-25.014749262536867,14864,62.39567992145312,0.2037,-32.280585106382986,0.0,0.624540439245543,Finance,Finance,america,
10,NASDAQ,HWH,HWH International Inc.,hwh-international,stock,['common'],22019759.225512527,USD,3.4,100,1,false,0,USD,-22.551252847380407,653348,,-0.2964,70.74326325140657,0.0,0.016891048348302996,Finance,Finance,america,
11,NASDAQ,WNW,Meiwu Technology Company Limited,meiwu-technology-company-limited,stock,['common'],7001573.983594866,USD,2.21,100,1,false,0,USD,-21.18402282453637,200843,0.24392397518818568,9.0602,,0.0,1.2689271647697902,Retail trade,Retail Trade,america,
12,NASDAQ,IPDN,"Professional Diversity Network, Inc.",professional-diversity-network,stock,['common'],6574166.771771772,USD,2.63,100,1,false,0,USD,-21.021021021021024,654286,,-1.4607,48.02889062833558,0.0,0.01888922463714901,Commercial services,Commercial Services,america,
13,NASDAQ,RAPP,"Rapport Therapeutics, Inc.",rapport-therapeutics,stock,['common'],817553449.8751336,USD,22.4,100,1,false,0,USD,-20.08562254727079,6084963,,-2.4622,,0.0,3.321774470504019,Health technology,Health Technology,america,1.0
14,NASDAQ,GORV,"Lazydays Holdings, Inc.",lazydays,stock,['common'],8293153.89818182,USD,2.22,100,1,false,0,USD,-19.272727272727266,148112,,-122.0646,68.58376707257094,0.0,1.6131850034962216,Retail trade,Retail Trade,america,
15,NASDAQ,ACTU,"Actuate Therapeutics, Inc.",actuate-therapeutics,stock,['common'],142726895.96239716,USD,6.88,100,1,false,0,USD,-19.153936545240892,482916,,-1.2625,,0.0,7.723344229994178,Health technology,Health Technology,america,1.0
16,NASDAQ,NEXT,NextDecade Corporation,nextdecade,stock,['common'],2118176083.7936587,USD,8.085,100,1,false,0,USD,-18.62103673880221,17186398,,-0.7939,-1397.9245283018868,0.0,6.285690794989807,Energy minerals,Energy Minerals,america,1.0
17,NYSE,HLLY,Holley Inc.,holley,stock,['common'],357023691.5122616,USD,2.99,100,1,false,0,USD,-18.528610354223428,2072238,,-0.257,-234.5549738219895,0.0,4.138300001078391,Producer manufacturing,Producer Manufacturing,america,1.3125
18,NASDAQ,HOUR,"Hour Loop, Inc.",hour-loop,stock,['common'],114659305.16,USD,3.26,100,1,false,0,USD,-18.090452261306538,1834113,148.1818181818182,0.022,-40.05449591280655,0.0,0.06355672265091412,Retail trade,Retail Trade,america,
19,NYSE,RBRK,"Rubrik, Inc.",rubrik,stock,['common'],15620472488.199797,USD,80.72,100,1,false,0,USD,-18.050761421319798,18682786,,-2.3491,61.95173307418206,0.0,5.6404461362320255,Technology services,Technology Services,america,1.195652
20,NASDAQ,MRNO,Murano Global Investments PLC,murano-global-investments-plc,stock,['common'],325987383.3686695,USD,4.11,100,1,false,0,USD,-17.793423473877905,27733,,,,0.0,13.429373880199506,Consumer services,Consumer Services,america,
21,NASDAQ,BLNE,"Beeline Holdings, Inc.",beeline,stock,['common'],41965865.038461536,USD,2.14,100,1,false,0,USD,-17.69230769230769,3224078,,,,0.0,0.9058054006778485,Commercial services,Commercial Services,america,1.0
22,NASDAQ,CHSN,Chanson International Holding,,stock,['common'],16394790.537037034,USD,2.67,100,1,false,0,USD,-17.592592592592602,335330,27.63975155279503,0.0966,,0.0,0.4685595730047757,Consumer non-durables,Consumer Non-Durables,america,
23,NASDAQ,WATT,Energous Corporation,energous,stock,['common'],11293586.43476411,USD,7.76,100,1,false,0,USD,-17.451199404287003,169517,,-29.9991,71.18648951588969,0.0,3.2634191041994747,Electronic technology,Electronic Technology,america,1.0
24,NASDAQ,SBLX,"StableX Technologies, Inc.",ayro,stock,['common'],3525583.036450079,USD,5.22,100,1,false,0,USD,-17.27416798732171,451376,,-51.8008,53.12585964759877,0.0,0.9419015737729275,Producer manufacturing,Producer Manufacturing,america,
25,NASDAQ,LIMN,"Liminatus Pharma, Inc.",liminatus-pharma,stock,['common'],54941205.1142857,USD,2.03,100,1,false,0,USD,-17.142857142857157,1615109,,-0.2868,-46.02851323828921,0.0,1.9906233792612487,Health technology,Health Technology,america,
26,NASDAQ,UFG,Uni-Fuels Holdings Limited,uni-fuels-limited,stock,['common'],260616599.99999997,USD,8.04,100,1,false,0,USD,-16.683937823834206,231123,,,,0.0,0.3862172754790305,Distribution services,Distribution Services,america,
27,NYSE,CHWY,"Chewy, Inc.",chewy,stock,['common'],14620071041.989782,USD,35.11,100,1,false,0,USD,-16.603325415676963,36659538,39.325716845878134,0.8928,362.59067357512953,0.0,6.063153751956099,Retail trade,Retail Trade,america,1.469697
28,NASDAQ,DRIO,DarioHealth Corp.,,stock,['common'],18334695.181619253,USD,7.64,100,1,false,0,USD,-16.411378555798695,51903,,-19.8892,18.44677710349353,0.0,1.2825407368474895,Health technology,Health Technology,america,1.333333
29,NASDAQ,GSAT,"Globalstar, Inc.",globalstar,stock,['common'],3942055799.9913306,USD,31.12,100,1,false,0,USD,-15.686805743700882,2471937,,-0.3901,-11.61659513590845,0.0,1.6315067560093384,Communications,Communications,america,1.0
30,NASDAQ,NEON,Neonode Inc.,neonode,stock,['common'],68642156.48966941,USD,4.09,100,1,false,0,USD,-15.495867768595042,4171682,,-0.3779,47.08765051806216,0.0,0.3502338291254859,Electronic technology,Electronic Technology,america,2.0
